"","cdc28_13_37_2h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_2h_rep3_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep1_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep2_Aligned.sortedByCoord.out.bam","cdc28_13_37_8h_rep3_Aligned.sortedByCoord.out.bam","WT_37_2h_rep1_Aligned.sortedByCoord.out.bam","WT_37_2h_rep2_Aligned.sortedByCoord.out.bam","WT_37_2h_rep3_Aligned.sortedByCoord.out.bam","WT_37_8h_rep1_Aligned.sortedByCoord.out.bam","WT_37_8h_rep2_Aligned.sortedByCoord.out.bam","WT_37_8h_rep3_Aligned.sortedByCoord.out.bam"
"YEL017C-A",15.5,7.5,9,2.5,3,3,11.5,9,7,12,17,11
"YER133W",45,43,46,37,17,29,36,52.5,41,49,57,34
"YER152W-A",2.5,3.5,1.5,0,0,0.5,3,2.5,3.5,3.5,4,4
"YER060W",10,13,16,11.5,11,7,7.5,14,10.5,11,8.5,13
"YER186C",6,10,4,2,5,2,4,8,4,10,13,8
"YER188W",1,3,2,2.33,1,4,0,0,1,0,3,1
"YEL045C",1,0,0,0,0,0,0,1,0,0,2,1
"YER022W",16.1,9,25,7,6,8.1,13,19,18,16,16,17.6
"YER148W-A",2.5,1,0.5,0,0,0,1,2.5,0,1,4,1.5
"YER157W",8,15,11,8,5,3,13,8,7,11,20,12
"YER014C-A",4.5,2.5,2.5,1.5,1,2.5,1.11,0.5,2,1,2,3
"YEL076C-A",0.5,0.38,0.18,0.06,0.17,0.19,0.64,1.05,1.05,1.22,0.96,0.76
"YEL038W",13.5,11.17,9.17,3,4,3.17,4,7.5,8,9,10,12.6
"YER066W",0.5,1.5,2.5,5,1,1.5,0,1,2,0,1,2
"YER098W",6,14,6,13,8,12,10,7,10,5,10,8
"YEL035C",1,0,0,0,1,0,0,3,1,0,1,1
"RPR1",201,215,176,185,152,199,172,213.5,198,204.5,227,186.25
"YER063W",6,8,6,1,1,0,9,22,12,10,14,7
"YER127W",20,17,19,3,0,1,17,17,13,21,20,24
"YER154W",29,23,33,10,3,9,25,33,20,29,33,35
"YER032W",10,8,11,8,9,4,20,24,13,17,21.5,20
"YER180C-A",0,0,0,0,1,0,2,1,0,2,0,3
"YEL071W",37,27,34,39,37,41,36,39,34,46,82,60
"tK(CUU)E2",0,0,0,0,0,0,0,0,0,0,0,0
