string_suffix,1h_rep1,1h_rep2,1h_rep3,3h_rep1,3h_rep 2,3h_rep3,5h_rep1,5h_rep 2,5h_rep3,7h_rep1,7h_rep2
YKR001C,1020.3,968.947,1036.56,4890.68,4959.59,5168.35,7983.63,8748.56,8694.36,9345,8719.19
YPL085W,1041.04,979.15,1011.59,5157.89,5214.78,5361.92,7689.16,8656.55,8560.56,8723.15,8342.57
YHR215W,1062.76,991.69,1007.67,709.233,706.559,721.666,642.006,662.991,687.606,511.185,537.648
YLR314C,1009.81,1025.7,1036.6,3474.72,3484.5,3750.59,4993.02,5894.88,5463.72,5954.7,5525.39
YMR309C,1085.57,944.147,1056.6,5375.21,5599.04,5513.43,7833.17,8215.93,8454.79,8621.1,8692.13
YMR318C,1034.52,963.813,1088.01,3306.6,3671.48,3417.05,5785.03,5887.88,6590.1,6533.99,7138.74
YCR031C,890.187,1220.57,989.48,3681.39,2907.52,3263.26,3168.76,3605.95,3405.89,2896.73,2373.59
YPR010C,1066.98,959.494,1075.66,5091.86,5485.26,5304.01,7463.85,7541.2,8193.81,8066.18,8481.9
YBR155W,1102.38,872.389,1136.91,2688.88,3031.39,2791.81,3497.84,3454.7,4022.29,3117.48,3334.89
YLR167W,1089.56,913.01,1115.46,3489.33,4072.25,3628.77,5259.68,5024.15,6000.1,5027.92,5734.82
YKL215C,1054.21,984.477,1082.16,4702.55,4956.59,4857.34,6649.01,7018.86,7327.36,6934.1,6958.59
YOR234C,1074.15,1071.42,981.248,2764.02,2667.31,2876.4,3236.6,3797.25,3424.19,4001.59,3453.19
YER074W,1093.68,964.328,1072.49,4179.27,4549.16,4403.68,5911.26,6082.29,6609.97,6074.98,6533.01
YJR144W,1076.53,999.228,1058.16,2578.76,2653.79,2739.58,3213.1,3416.14,3564.91,3474.16,3344.36
YDL082W,1043.96,1049.81,1041.13,5563.57,5398.7,5553.22,6810.91,7714.59,7466.12,7645.58,7567.56
YJR137C,1079.16,1008.75,1057.18,2948.6,3089.54,3082.21,4675.3,5067.64,5209.48,4604.41,4683.57
YDL137W,1071.1,1025.55,1063.55,3627.13,3977.95,3851.16,5636.89,5786.51,6104.58,6535.89,6658.48
YEL046C,1086.83,989.524,1092.81,3505.1,3521.37,3640.61,4733.92,5126.56,5171.43,4896.33,4735.33
